10,49.48
15.14,49.48
22.91,49.48
34.67,49.48
52.48,49.48
79.43,49.48
120.2,49.48
182,49.48
275.4,49.48
416.9,49.48
631,49.48
955,49.48
1.45E+03,49.48
2.19E+03,49.48
3.31E+03,49.48
5.01E+03,49.48
7.59E+03,49.47
1.15E+04,49.47
1.74E+04,49.45
2.63E+04,49.41
3.98E+04,49.32
6.03E+04,49.13
9.12E+04,48.72
1.38E+05,47.91
2.09E+05,46.47
3.16E+05,44.31
4.79E+05,41.52
7.24E+05,38.33
1.10E+06,34.92
1.66E+06,31.41
2.51E+06,27.85
3.80E+06,24.27
5.75E+06,20.68
8.71E+06,17.09
1.32E+07,13.51
2.00E+07,9.96
3.02E+07,6.464
4.57E+07,3.094
6.92E+07,-2.13E-02
1.05E+08,-2.701
1.59E+08,-4.978
2.40E+08,-8.114
3.63E+08,-14.01
5.50E+08,-21.41
8.32E+08,-28.9
1.26E+09,-36.26
1.91E+09,-43.54
2.88E+09,-50.77
4.37E+09,-57.99
6.61E+09,-65.2
1.00E+10,-72.4